i	rmse
0	0.3405844054994715
1	0.338947207636408
2	0.3373796872545425
3	0.33761488450933935
4	0.33651395961898395
5	0.3354311838842337
6	0.33436464907591096
7	0.3333118378749611
8	0.3322779257814348
9	0.3312581081563424
10	0.33025349168891527
11	0.329262159382273
12	0.32828978923640456
13	0.32734069893228424
14	0.32641417322307076
15	0.32550283822272613
16	0.32462979094655203
17	0.3237933768244848
18	0.32296165175540814
19	0.32216019889658765
20	0.3214032691084276
21	0.3206111567365801
22	0.31985081781492897
23	0.31903995273094266
24	0.3182290073224241
25	0.3174283886183227
26	0.3165880656586177
27	0.315694208225122
28	0.31485740593687156
29	0.3139269775175914
30	0.31303561984044165
31	0.3120983314391093
32	0.31117534346243564
33	0.3102609031682895
34	0.3093600663634495
35	0.3085317468353173
36	0.30770120243698273
37	0.3068826064724505
38	0.30610418734178385
39	0.3053179200100541
40	0.30458954761254853
41	0.3038738586042731
42	0.3032019127578022
43	0.30256467207043825
44	0.30197581471822277
45	0.3014514055856993
46	0.30097101063882564
2355019982222746
47	0.22305602226126262
48	0.22256988437347436
49	0.22209452410729533
50	0.2216306221240757
51	0.22117981496167533
52	0.22074069593801324
53	0.22031533329006683
54	0.21990244428432973
55	0.21950139974132848
56	0.21911386596504
57	0.21873676660678693
58	0.21836941594598056
59	0.21801245161632815
60	0.2177532046597171
61	0.21741701111842407
62	0.21715080164153067
63	0.21683420752311178
64	0.21652618654380823
65	0.2162269814373691
66	0.21593764150363895
67	0.2156579221010576
68	0.2153862499234335
69	0.21512394188492728
70	0.214868325685817
71	0.21462113045379644
72	0.21438101268726895
73	0.21414819709358
74	0.2139213981710794
75	0.2136998934886173
76	0.21348458083258096
77	0.21327461315436735
78	0.21306902018565563
79	0.2128671642215553
80	0.2126692104156088
81	0.21255462501531008
82	0.2123615407353231
83	0.21221288213184705
84	0.21202320783373146
85	0.21183387975054144
86	0.21164598346504443
87	0.2114584308721336
88	0.21127128835562348
89	0.21108516747965217
90	0.21089936391531977
91	0.21071467151579348
92	0.21053045700956355
93	0.2103468092956789
94	0.21016443784400485
95	0.20998223249310702
96	0.2098008212744408
97	0.20961960580902558
98	0.2094393347482561
99	0.20925889295991135
100	0.20907932474358937
101	0.2088989897325215
102	0.20871878312133918
103	0.20853867931905146
104	0.20835735598217017
105	0.20817690240130513
106	0.20799784631798762
107	0.20781942663323577
108	0.20764070342167287
109	0.20749493937706692
110	0.20738740118844187
111	0.20727226015108696
112	0.20717162396634003
113	0.2070446528104789
114	0.20693707315747217
115	0.20683698254028235
116	0.20671623810892092
117	0.20656118784004843
118	0.20647920440206557
119	0.20636920679544202
120	0.20625975281263817
121	0.20611980836123758
122	0.20598476816573746
123	0.20586348068814483
124	0.20571262559595196
125	0.20556783710715731
126	0.20539096896281323
127	0.2052423722429413
128	0.20508361066448308
129	0.20490854145234927
130	0.2047260263315641
131	0.20453975785487613
132	0.20435225540072402
133	0.20417467106280004
134	0.20398007742605173
135	0.20379854673888698
136	0.20361308741246273
137	0.20343321909691364
138	0.20326003304548484
139	0.20309520195227074
140	0.20293933813486564
141	0.20279277758143266
142	0.20265488100433227
143	0.20252737499199042
144	0.20240975358451835
145	0.2023015286237323
146	0.20220302246972857
147	0.2021144384840791
148	0.2020343905109765
149	0.2019632201023365
150	0.20190495145265705
151	0.20184819218340325
152	0.20179926871966417
153	0.20175561079812143
154	0.20171819579553543
155	0.2016870724031708
156	0.2016628139466327
157	0.20164451201704633
158	0.20163155618448922
159	0.20162567038693247
160	0.20162447038308623
161	0.2016303400320839
162	0.20164185780223084
163	0.20166037077923615
164	0.20168492084072084
165	0.20171545277814107
166	0.20175213237059625
167	0.20179537123971178
168	0.2018443342472443
169	0.20189884814328898
170	0.2019596053282813
171	0.20202551186392328
172	0.20209734006491956
173	0.20217397026410694
174	0.2022564245675462
175	0.2023445490615855
176	0.202438426941134
177	0.20253830015982713
178	0.20264461642169973
179	0.2027577813425911
