epoch,dice_coef,iou,loss,lr,precision_1,recall_1,val_dice_coef,val_iou,val_loss,val_precision_1,val_recall_1
0,0.2815052568912506,0.16404490172863007,0.718494713306427,0.001,0.27361154556274414,0.704801619052887,0.14854872226715088,0.08025652170181274,0.8542890548706055,0.09551600366830826,1.0
1,0.3237696886062622,0.19396372139453888,0.676230251789093,0.001,0.3256518542766571,0.7231245040893555,0.14698849618434906,0.07934655249118805,0.8558273315429688,0.09521102905273438,1.0
2,0.3879653513431549,0.24140603840351105,0.6120346188545227,0.001,0.49315914511680603,0.7441505789756775,0.1470603197813034,0.0793883353471756,0.8557530045509338,0.09522338211536407,1.0
3,0.42234018445014954,0.268126517534256,0.5776598453521729,0.001,0.5402991771697998,0.7707102298736572,0.15066418051719666,0.0814925879240036,0.8521925806999207,0.09780313074588776,1.0
4,0.4563514292240143,0.295889675617218,0.5436485409736633,0.001,0.6091132760047913,0.7855605483055115,0.15213027596473694,0.08235129714012146,0.8507649302482605,0.09942211210727692,0.9999599456787109
5,0.47591879963874817,0.31258514523506165,0.5240812301635742,0.001,0.6476309895515442,0.7796246409416199,0.1567990779876709,0.08509357273578644,0.8461306691169739,0.10369867831468582,0.9982103705406189
6,0.49596190452575684,0.3300429880619049,0.5040380954742432,0.001,0.671593427658081,0.7956818342208862,0.16484449803829193,0.08984425663948059,0.8376667499542236,0.1087072342634201,0.9864444136619568
7,0.5067806243896484,0.33955809473991394,0.49321937561035156,0.001,0.6827600002288818,0.7828360795974731,0.15951763093471527,0.08667609840631485,0.8417245745658875,0.28791868686676025,0.12559263408184052
8,0.5245237946510315,0.3556572496891022,0.4754761755466461,0.001,0.7046041488647461,0.789371907711029,0.10608507692813873,0.05603015050292015,0.891417920589447,0.319673627614975,0.0235452800989151
9,0.5388603806495667,0.36909326910972595,0.46113958954811096,0.001,0.7179301381111145,0.7899506688117981,0.09068994224071503,0.0474991574883461,0.90968257188797,0.02981029823422432,0.0017628911882638931
10,0.555394172668457,0.38464441895484924,0.44460582733154297,0.001,0.7375155687332153,0.7912775874137878,0.0795619934797287,0.041429415345191956,0.9207958579063416,0.002912621246650815,8.01314163254574e-05
11,0.5706272721290588,0.39942339062690735,0.4293726980686188,0.001,0.7526699304580688,0.7963805794715881,0.0669022798538208,0.03460964560508728,0.933661937713623,0.0,0.0
12,0.5784657001495361,0.40716150403022766,0.42153429985046387,0.000100000005,0.7546508312225342,0.795957088470459,0.06552055478096008,0.03387065604329109,0.9350425601005554,0.0,0.0
13,0.5826913118362427,0.4113270342350006,0.4173086881637573,0.000100000005,0.7581399083137512,0.8025000095367432,0.06434410810470581,0.03324226289987564,0.9362075328826904,0.0,0.0
14,0.5859391689300537,0.41452470421791077,0.4140608310699463,0.000100000005,0.7627806067466736,0.8046879768371582,0.06264013051986694,0.03233341872692108,0.9378885626792908,0.0,0.0
15,0.5878646969795227,0.41643980145454407,0.4121352732181549,0.000100000005,0.7694519758224487,0.8007989525794983,0.0607098713517189,0.03130583092570305,0.9397945404052734,0.0,0.0
16,0.5901026725769043,0.41867804527282715,0.4098973274230957,0.000100000005,0.7776767015457153,0.7964158654212952,0.05933495610952377,0.030575139448046684,0.9411554336547852,0.0,0.0
